UPME_TensionkW_TensionkW,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"230",155,142,0.01877743,214.9246867,214.90590927,9750.225580892,62.9046811670452,46.15683729,53.449651103496,0.01877743,35.79704646,20.60869299,98.679189475,78.070496485
"500",23,23,45.94545797,381.2665416,335.32108363,3767.85663987,163.819853907391,141.5972763,70.9152105528649,45.94545797,45.94545797,112.5697841,191.15334755,78.58356345
"220",76,73,0.428047185,114.0307247,113.602677515,2880.157254306,37.8968059777105,32.824331605,30.8685000129134,0.428047185,9.115473848,9.115473848,58.434859105,49.319385257
"115",342,339,0.055804051,289.1661817,289.110377649,8728.00369445001,25.5204786387427,13.7008871,31.8383357473735,0.055804051,1.296504789,6.525367379,33.14218099,26.616813611
<110,31,31,1.237362937,106.6639295,105.426566563,434.594798404,14.0191870452903,7.544413584,20.1571642023016,1.237362937,1.237362937,3.775057271,12.58309189,8.808034619
"110",154,154,0.107004622,109.1888887,109.081884078,3330.078160639,21.6238841599935,12.124577735,22.196225108074,0.107004622,0.107004622,5.110316658,33.43494191,28.324625252
