STTipo,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,sum1
STN - Nacional,"255","239","0.01877743","381.2665416","381.24776417","16421.803769958","64.3992304704235","46.15683729","59.8571863247429","0.01877743","35.79704646","19.71641861","95.38703363","75.67061502",16421.8037699580
STR - Regional,"526","523","0.055804051","289.1661817","289.110377649","12469.112358603","23.7055368034278","12.27173715","28.9173489681422","0.055804051","1.296504789","5.840763916","31.70745264","25.866688724",12469.1123586030
