UPME_Tensi,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
"230",15,14,0.01877743,29.73579466,29.71701723,141.608140818,9.4405427212,9.415237992,8.51988282862149,0.01877743,12.23040991,1.5667718185,12.23040991,10.6636380915
"115",57,56,0.408057824,19.12427838,18.716220556,369.212097141,6.477405213,5.737141211,3.94216988775144,0.408057824,1.296504789,3.813472139,8.634923791,4.821451652
<110,7,7,1.237362937,10.09265044,8.855287503,37.092082822,5.29886897457143,4.575228188,2.82878639946107,1.237362937,1.237362937,3.3115597735,7.281860855,3.9703010815
